product id,product_Name,types_of_product, product_Brand,unit_price,quantity,price,tax,total_price,order _date,delivery_date,product_availability,product_target_availability
Au001,Fruti,Beverage,Fruti,10,0.45 litres,300,200,500,21-05-2021,22-05-2021,0.55 litres,10 litres
Au002,Thumps Up,Beverage,Coca Cola,74,5 litres,100,80,180,25-04-2021,10-10-2021,21 litres,49 litres
Au003,Coca-Cola,Beverage,Coca Cola,15,10 litres,610,153,763,09-02-2021,22-11-2021,21 litres,41 litres
Au004,Sprite,Beverage,Coca Cola,25,7 litres,694,218,912,01-04-2021,18-09-2021,21 litres,43 litres
Au005,Sprite,Beverage,Coca Cola,49,7 litres,788,158,946,19-04-2021,07-10-2021,10 litres,42 litres
Au006,Coca-Cola,Beverage,Coca Cola,16,6 litres,953,138,1091,06-03-2021,12-07-2021,26 litres,41 litres
Au007,Honest Tea,Beverage,Coca Cola,41,5 litres,927,363,1290,25-03-2021,03-08-2021,11 litres,44 litres
Au008,Lays,Snacks,Pepsi,30,5 kg,825,166,991,01-06-2021,24-10-2021,10 kg,15 kg
Au009,Bhel Puri,Snacks,Haldiram,15,10 kg,851,212,1063,19-02-2021,28-10-2021,30 kg,65 kg
Au010,Tasty Nuts,Snacks,Haldiram,31,5 kg,763,154,917,26-03-2021,06-07-2021,40 kg,87 kg
Au011,Bhujia Sev,Snacks,Haldiram,42,7 kg,777,330,1107,06-02-2021,12-09-2021,31 kg,81 kg
Au012,Aloo Bhujia,Snacks,Haldiram,22,7 kg,826,318,1144,20-05-2021,29-08-2021,38 kg,52 kg
Au013,Aloo Bhujia,Snacks,Haldiram,39,6 kg,634,223,857,13-02-2021,11-09-2021,36 kg,68 kg
Au014,Bhujia Sev,Snacks,Haldiram,50,12 kg,590,282,872,14-03-2021,28-06-2021,35 kg,80 kg
Au015,Aloo Bhujia,Snacks,Haldiram,31,7 kg,567,225,792,21-03-2021,24-08-2021,40 kg,83 kg
Au016,Bhujia Sev,Snacks,Haldiram,27,9 kg,663,152,815,23-02-2021,06-11-2021,37 kg,87 kg
Au017,Aloo Bhujia,Snacks,Haldiram,30,10 kg,768,256,1024,08-03-2021,02-08-2021,37 kg,56 kg
Au018,Tasty Nuts,Snacks,Haldiram,39,6 kg,570,190,760,14-01-2021,11-09-2021,34 kg,74 kg
Au019,Tasty Nuts,Snacks,Haldiram,30,9 kg,834,271,1105,22-04-2021,11-08-2021,30 kg,77 kg
Au020,Bhel Puri,Snacks,Haldiram,33,5 kg,785,367,1152,17-01-2021,04-11-2021,30 kg,57 kg
Au021,Bhujia Sev,Snacks,Haldiram,26,9 kg,573,272,845,19-01-2021,16-09-2021,35 kg,93 kg
Au022,Aloo Bhujia,Snacks,Haldiram,26,7 kg,729,234,963,15-03-2021,12-10-2021,35 kg,53 kg
Au023,Aloo Bhujia,Snacks,Haldiram,36,8 kg,957,310,1267,18-05-2021,26-09-2021,36 kg,92 kg
Au024,Bhujia Sev,Snacks,Haldiram,39,11 kg,903,100,1003,12-04-2021,13-07-2021,33 kg,78 kg
Au025,Tasty Nuts,Snacks,Haldiram,39,7 kg,938,187,1125,30-05-2021,19-07-2021,39 kg,97 kg
Au026,Bhel Puri,Snacks,Haldiram,45,11 kg,773,317,1090,12-05-2021,06-11-2021,35 kg,56 kg
Au027,Tasty Nuts,Snacks,Haldiram,21,9 kg,631,321,952,30-05-2021,08-07-2021,31 kg,65 kg
Au028,Aloo Bhujia,Snacks,Haldiram,20,10 kg,508,371,879,27-03-2021,25-11-2021,34 kg,91 kg
Au029,Tasty Nuts,Snacks,Haldiram,15,7 kg,692,145,837,10-02-2021,26-06-2021,32 kg,100 kg
Au030,Bhujia Sev,Beverage,Coca Cola,23,14 litres,527,129,656,04-04-2021,14-08-2021,46 litres,58 litres
Au031,Tasty Nuts,Beverage,Coca Cola,47,12 litres,737,146,883,06-05-2021,28-06-2021,50 litres,51 litres
Au032,Tasty Nuts,Beverage,Coca Cola,32,6 litres,662,197,859,14-01-2021,06-09-2021,49 litres,59 litres
Au033,Tasty Nuts,Beverage,Coca Cola,38,6 litres,507,224,731,14-05-2021,22-08-2021,44 litres,78 litres
Au034,Tasty Nuts,Beverage,Coca Cola,12,5 litres,659,217,876,27-05-2021,20-09-2021,33 litres,52 litres
Au035,Aloo Bhujia,Beverage,Coca Cola,15,7 litres,708,292,1000,29-01-2021,25-07-2021,45 litres,80 litres
Au036,Bhujia Sev,Beverage,Coca Cola,28,14 litres,592,164,756,03-03-2021,30-09-2021,20 litres,40 litres
Au037,Uncle Chips,Snacks,Uncle Chips,31,11 kg,931,107,1038,04-05-2021,19-10-2021,45 kg,67 kg
Au038,Uncle Chips(spicy),Snacks,Uncle Chips,33,11 kg,723,174,897,05-05-2021,27-10-2021,42 kg,86 kg
Au039,Uncle Chips,Snacks,Uncle Chips,27,11 kg,750,219,969,21-04-2021,10-07-2021,49 kg,53 kg
Au040,Uncle Chips(spicy),Snacks,Uncle Chips,13,14 kg,707,146,853,17-03-2021,23-06-2021,43 kg,89 kg
Au041,Uncle Chips(spicy),Snacks,Uncle Chips,50,14 kg,793,126,919,10-02-2021,13-08-2021,50 kg,77 kg
Au042,Uncle Chips,Snacks,Uncle Chips,23,13 kg,596,353,949,29-04-2021,09-06-2021,49 kg,66 kg
Au043,Uncle Chips(spicy),Snacks,Uncle Chips,32,15 kg,746,242,988,22-02-2021,11-09-2021,50 kg,67 kg
Au044,Uncle Chips,Snacks,Uncle Chips,25,14 kg,858,207,1065,11-01-2021,01-11-2021,40 kg,60 kg
Au045,Uncle Chips(spicy),Snacks,Uncle Chips,38,10 kg,542,294,836,17-03-2021,10-09-2021,42 kg,77 kg
Au046,Uncle Chips,Snacks,Uncle Chips,26,14 kg,744,318,1062,13-04-2021,18-08-2021,50 kg,94 kg
Au047,Uncle Chips,Snacks,Uncle Chips,26,15 kg,600,169,769,22-03-2021,20-11-2021,48 kg,54 kg
Au048,Uncle Chips,Snacks,Uncle Chips,37,10 kg,678,150,828,16-05-2021,03-11-2021,49 kg,51 kg
Au049,Uncle Chips(spicy),Snacks,Uncle Chips,14,11 kg,651,215,866,01-03-2021,11-09-2021,49 kg,94 kg
Au050,Uncle Chips(spicy),Snacks,Uncle Chips,39,12 kg,565,310,875,03-02-2021,05-07-2021,40 kg,92 kg
Au051,Uncle Chips,Snacks,Uncle Chips,39,11 kg,930,307,1237,09-02-2021,07-07-2021,46 kg,52 kg
Au052,Uncle Chips,Snacks,Uncle Chips,46,10 kg,720,134,854,06-04-2021,28-10-2021,45 kg,99 kg
Au053,Uncle Chips,Snacks,Uncle Chips,42,10 kg,558,140,698,09-05-2021,25-11-2021,42 kg,66 kg
Au054,Uncle Chips(spicy),Snacks,Uncle Chips,49,10 kg,669,195,864,28-03-2021,23-08-2021,45 kg,99 kg
Au055,Uncle Chips(spicy),Snacks,Uncle Chips,22,13 kg,623,336,959,01-02-2021,24-09-2021,45 kg,95 kg
Au056,Uncle Chips,Snacks,Uncle Chips,47,15 kg,991,308,1299,21-05-2021,14-11-2021,44 kg,65 kg
Au057,Uncle Chips(spicy),Snacks,Uncle Chips,18,12 kg,786,121,907,26-03-2021,30-07-2021,50 kg,90 kg
Au058,Bhujia Sev,Snacks,Haldiram,35,11 kg,973,354,1327,23-04-2021,29-10-2021,44 kg,52 kg
Au059,Tasty Nuts,Snacks,Haldiram,33,14 kg,776,168,944,29-04-2021,08-09-2021,45 kg,64 kg
Au060,Aloo Bhujia,Snacks,Haldiram,20,11 kg,846,319,1165,22-01-2021,17-07-2021,47 kg,76 kg
Au061,Bhujia Sev,Snacks,Haldiram,28,15 kg,817,368,1185,27-03-2021,03-10-2021,43 kg,100 kg
Au062,Aloo Bhujia,Snacks,Haldiram,29,11 kg,752,113,865,19-01-2021,15-10-2021,41 kg,93 kg
Au063,Aloo Bhujia,Snacks,Haldiram,26,11 kg,951,393,1344,25-02-2021,09-09-2021,44 kg,72 kg
Au064,Uncle Chips,Snacks,Uncle Chips,38,15 kg,986,299,1285,21-02-2021,29-08-2021,30 kg,50 kg
Au065,Soda Stream,Beverage,Pepsi,50,10 litres,868,134,1002,06-04-2021,05-10-2021,43 litres,49 litres
Au066,Tropicana,Beverage,Pepsi,13,10 litres,919,133,1052,24-03-2021,08-07-2021,36 litres,50 litres
Au067,Tropicana,Beverage,Pepsi,36,11 litres,878,144,1022,02-05-2021,17-09-2021,40 litres,50 litres
Au068,Pepsi,Beverage,Pepsi,36,13 litres,951,320,1271,12-01-2021,22-07-2021,40 litres,54 litres
Au069,Tropicana,Beverage,Pepsi,24,13 litres,738,255,993,18-01-2021,02-09-2021,29 litres,58 litres
Au070,Soda Stream,Beverage,Pepsi,25,15 litres,665,162,827,26-01-2021,19-10-2021,35 litres,60 litres
Au071,Gatorade,Beverage,Pepsi,49,12 litres,514,374,888,12-02-2021,05-06-2021,44 litres,45 litres
Au072,Pepsi,Beverage,Pepsi,44,15 litres,980,326,1306,27-03-2021,01-08-2021,42 litres,52 litres
Au073,Uncle Chips(spicy),Snacks,Uncle Chips,35,9 kg,877,272,1149,10-03-2021,14-07-2021,10 kg,25 kg
